Date,Open,High,Low,Close,Adj Close,Volume
2015-05-11,38.259998,39.887501,36.275002,39.172501,38.875141,1150000
2015-05-18,38.970001,40.220001,38.935001,39.930000,39.626884,982200
2015-05-25,39.480000,40.459999,37.869999,39.299999,39.001667,858900
2015-06-01,39.880001,40.220001,37.599998,38.110001,37.820702,1391200
2015-06-08,38.220001,38.919998,35.820000,37.320000,37.036697,1227200
2015-06-15,36.740002,38.529999,35.790001,37.540001,37.255028,1077300
2015-06-22,38.290001,38.790001,36.330002,36.730000,36.451172,739400
2015-06-29,35.560001,36.110001,34.139999,35.200001,34.932793,1022700
2015-07-06,34.500000,35.259998,32.849998,34.430000,34.168640,877600
2015-07-13,35.110001,39.509998,35.110001,39.490002,39.190228,917900
2015-07-20,39.980000,40.490002,36.520000,36.610001,36.332088,1004300
2015-07-27,36.000000,37.860001,35.360001,37.150002,36.867992,713000
2015-08-03,36.990002,37.689999,35.200001,35.860001,35.587784,714300
2015-08-10,36.410000,37.689999,34.090000,36.570000,36.292397,839600
2015-08-17,36.049999,37.220001,29.549999,29.610001,29.385225,1500600
2015-08-24,23.809999,31.510000,22.000000,31.379999,31.141788,2419800
2015-08-31,31.059999,31.580000,27.270000,28.360001,28.144714,1243200
2015-09-07,30.000000,31.700001,29.270000,30.750000,30.516573,745400
2015-09-14,31.129999,32.910000,30.010000,30.200001,29.970747,783500
2015-09-21,30.809999,31.400000,28.340000,29.670000,29.444771,806100
2015-09-28,29.090000,30.020000,26.660000,30.020000,29.792112,907800
2015-10-05,30.469999,33.389999,30.469999,33.290001,33.037292,538600
2015-10-12,33.400002,34.509998,32.750000,34.490002,34.228184,499200
2015-10-19,34.099998,39.500000,33.660000,38.950001,38.654324,986100
2015-10-26,39.169998,39.630001,37.840000,38.599998,38.306980,616700
2015-11-02,38.740002,41.029999,38.509998,40.340000,40.033775,733200
2015-11-09,40.110001,40.110001,35.150002,35.189999,34.922863,658800
2015-11-16,35.000000,39.860001,35.000000,39.740002,39.438328,817000
2015-11-23,39.779999,39.849998,37.980000,38.990002,38.694027,281800
2015-11-30,39.520000,40.880001,37.400002,40.680000,40.371193,748200
2015-12-07,40.680000,40.680000,35.880001,35.990002,35.716797,803600
2015-12-14,35.919998,39.250000,34.810001,34.810001,34.545753,994300
2015-12-21,35.689999,37.759998,35.000000,37.480000,37.195484,332100
2015-12-28,37.139999,39.209999,36.430000,36.430000,36.153458,748200
2016-01-04,34.410000,35.369999,29.580000,29.709999,29.484465,1790000
2016-01-11,30.290001,32.000000,26.770000,27.820000,27.608814,1669300
2016-01-18,28.760000,30.020000,25.020000,29.990000,29.762341,1867700
2016-01-25,29.850000,31.820000,27.580000,31.760000,31.518906,1451200
2016-02-01,31.459999,32.529999,27.450001,27.809999,27.598890,1291500
2016-02-08,26.309999,27.799999,25.160000,27.200001,26.993521,1458500
2016-02-15,28.219999,31.070000,27.740000,30.150000,29.921124,866900
2016-02-22,30.990000,32.259998,28.430000,31.420000,31.181486,881000
2016-02-29,31.400000,34.500000,30.850000,33.970001,33.712132,833400
2016-03-07,33.490002,35.090000,32.299999,35.070000,34.803780,644100
2016-03-14,34.820000,37.709999,34.740002,37.389999,37.106167,681900
2016-03-21,37.340000,38.250000,36.570000,37.389999,37.106167,691200
2016-03-28,37.660000,40.279999,36.930000,40.270000,39.964306,798700
2016-04-04,40.290001,40.330002,37.619999,38.020000,37.731384,749000
2016-04-11,38.669998,40.000000,37.200001,39.180000,38.882576,577600
2016-04-18,38.830002,39.759998,36.200001,36.930000,36.649658,721700
2016-04-25,36.619999,37.150002,32.790001,33.549999,33.295319,993200
2016-05-02,33.770000,34.360001,32.419998,33.720001,33.464027,516000
2016-05-09,33.889999,35.389999,33.410000,33.700001,33.444176,523700
2016-05-16,33.900002,35.270000,32.990002,34.720001,34.456432,554900
2016-05-23,34.889999,38.310001,34.549999,38.310001,38.019184,738000
2016-05-30,38.509998,38.570000,37.130001,37.650002,37.364197,352300
2016-06-06,37.910000,38.849998,37.419998,37.730000,37.443584,415100
2016-06-13,37.040001,37.410000,35.349998,35.919998,35.647327,641100
2016-06-20,37.090000,38.369999,33.660000,33.930000,33.672432,1121600
2016-06-27,33.279999,36.980000,31.480000,36.709999,36.431324,939100
2016-07-04,36.240002,38.360001,35.130001,38.320000,38.029110,858600
2016-07-11,38.610001,41.119999,38.610001,40.639999,40.331490,671200
